Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E01_CT_N_c01.jpg,0.0,0.0,0.6,0.0,0.02,0.03,0.0,0.54,0.0,0.0,0.0,0.0
E01_CT_N_c02.jpg,0.0,0.0,0.72,0.0,0.95,0.13,1.15,1.3,0.0,0.0,0.0,0.0
E01_CT_N_c03.jpg,0.0,0.0,0.48,0.0,0.79,0.0,1.62,1.72,0.0,0.0,0.0,0.0
E01_CT_N_c04.jpg,0.0,0.0,0.47,0.0,0.55,0.0,1.33,1.86,0.0,0.0,0.0,0.0
E01_CT_N_c05.jpg,0.0,0.0,0.27,0.0,0.64,0.0,1.43,1.89,0.0,0.0,0.0,0.0
E01_CT_N_c06.jpg,0.0,0.0,0.54,0.0,0.76,0.0,1.08,1.64,0.0,0.0,0.0,0.0
E01_CT_N_c07.jpg,0.0,0.0,1.33,0.0,1.08,0.0,1.25,2.15,0.0,0.0,0.0,0.0
E01_CT_N_c08.jpg,0.0,0.0,0.65,0.0,1.24,0.26,1.65,1.87,0.0,0.0,0.0,0.0
E01_CT_N_c09.jpg,0.0,0.0,0.44,0.0,0.37,0.0,0.12,1.02,0.0,0.0,0.0,0.0
E01_CT_N_c10.jpg,0.0,0.0,1.94,0.0,1.49,0.32,1.72,2.38,0.0,0.0,0.0,0.0
E01_CT_N_c11.jpg,0.0,0.0,0.47,0.0,0.32,0.0,0.25,1.25,0.0,0.0,0.0,0.0
E01_CT_N_c12.jpg,0.0,0.0,1.13,0.0,0.95,0.18,1.08,1.34,0.0,0.0,0.0,0.0
E01_CT_N_c13.jpg,0.0,0.0,0.33,0.0,1.29,0.0,1.79,1.76,0.0,0.0,0.0,0.0
E01_CT_N_c14.jpg,0.0,0.0,0.53,0.0,0.74,0.0,1.35,1.65,0.0,0.0,0.0,0.0
E01_CT_N_c15.jpg,0.0,0.0,0.74,0.0,0.42,0.0,1.0,1.52,0.0,0.0,0.0,0.0
E01_CT_N_c16.jpg,0.0,0.0,0.5,0.0,0.69,0.0,1.16,1.57,0.0,0.0,0.0,0.0
E01_CT_N_c17.jpg,0.0,0.0,0.93,0.0,1.69,0.33,2.31,2.34,0.0,0.0,0.0,0.0
E01_CT_N_c18.jpg,0.0,0.0,0.63,0.0,1.31,0.0,2.19,2.27,0.0,0.0,0.0,0.0
E01_CT_N_c19.jpg,0.0,0.0,0.0,0.0,0.53,0.0,1.05,1.21,0.0,0.0,0.0,0.0
