Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E03_CT_M_c01.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E03_CT_M_c02.jpg,0.0,0.0,0.11,0.0,0.83,1.84,1.52,0.69,0.0,0.0,0.0,0.0
E03_CT_M_c03.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0
E03_CT_M_c04.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
E03_CT_M_c05.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0
E03_CT_M_c06.jpg,0.0,0.0,0.0,0.0,0.0,0.64,0.09,1.23,0.0,0.0,0.0,0.0
E03_CT_M_c07.jpg,0.0,0.0,0.14,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
E03_CT_M_c08.jpg,0.0,0.0,0.32,0.0,0.24,0.15,0.54,0.9,0.0,0.0,0.0,0.0
E03_CT_M_c09.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E03_CT_M_c10.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.69,0.0,0.0,0.0,0.0
E03_CT_M_c11.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E03_CT_M_c12.jpg,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0
E03_CT_M_c13.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.93,0.0,0.0,0.0,0.0
E03_CT_M_c14.jpg,0.0,0.0,0.31,0.0,0.0,0.0,0.36,1.25,0.0,0.0,0.0,0.0
E03_CT_M_c15.jpg,0.0,0.0,0.0,0.0,0.35,0.0,1.24,1.04,0.0,0.0,0.0,0.0
E03_CT_M_c16.jpg,0.0,0.0,0.28,0.0,1.08,0.1,0.97,1.44,0.0,0.0,0.0,0.0
E03_CT_M_c17.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.01,0.0,0.0,0.0,0.0
E03_CT_M_c18.jpg,0.0,0.0,0.0,0.0,0.15,0.0,0.24,0.69,0.0,0.0,0.0,0.0
E03_CT_M_c19.jpg,0.0,0.0,0.0,0.0,0.15,0.0,0.37,0.4,0.0,0.0,0.0,0.0
E03_CT_M_c20.jpg,0.0,0.0,0.0,0.0,0.11,0.0,0.8,1.01,0.0,0.0,0.0,0.0
E03_CT_M_c21.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.23,0.0,0.0,0.0,0.0
E03_CT_M_c22.jpg,0.0,0.0,0.43,0.0,0.52,0.0,0.76,1.47,0.0,0.0,0.0,0.0
E03_CT_M_c23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.76,0.0,0.0,0.0,0.0
