Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E10_CT_P_c01.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.64,0.0,0.0,0.0,0.0
E10_CT_P_c02.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.38,0.0,0.0,0.0,0.0
E10_CT_P_c03.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
E10_CT_P_c04.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.13,0.0,0.0,0.0,0.0
E10_CT_P_c05.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,0.0
E10_CT_P_c06.jpg,0.0,0.0,0.0,0.0,0.19,0.0,1.22,0.78,0.0,0.0,0.0,0.0
E10_CT_P_c07.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0
E10_CT_P_c08.jpg,0.0,0.0,0.26,0.0,0.5,0.0,1.23,0.38,0.0,0.0,0.0,0.0
E10_CT_P_c09.jpg,0.0,0.0,0.0,0.0,0.09,0.0,0.83,0.76,0.0,0.0,0.0,0.0
E10_CT_P_c10.jpg,0.0,0.0,0.0,0.0,0.79,0.0,1.53,0.68,0.0,0.0,0.0,0.0
E10_CT_P_c11.jpg,0.0,0.0,0.0,0.0,0.63,0.0,1.12,0.44,0.0,0.0,0.0,0.0
E10_CT_P_c12.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.55,0.0,0.0,0.0,0.0
E10_CT_P_c13.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.75,0.0,0.0,0.0,0.0
E10_CT_P_c14.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0
E10_CT_P_c15.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0
E10_CT_P_c16.jpg,0.0,0.0,0.31,0.0,0.5,0.0,0.23,0.87,0.0,0.0,0.0,0.0
